,Unnamed: 0,ID,Title,Lat,Lon,Slug,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12
18,18,458919084870783,Sasha's bar,59.98174,30.20999,sashas-bar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,2453168,Невская Жемчужина,59.9085,30.414990000000003,,128,74,83,123,209,282,414,315,266,226,217,340,203,206,172,171,230,236,275,348,308,319,215,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,1026651312,ЖК « Калина парк »,59.986614155,30.3742080753,,146,117,152,94,121,94,112,97,92,114,89,120,123,145,176,127,116,92,93,93,65,46,86,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,284810824,Графский пруд,60.0183293267,30.2977155433,,332,252,262,191,138,9,10,120,171,34,29,185,249,194,196,166,224,131,99,125,105,115,72,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,427881883,"Санкт-Петербург, Шуваловский Пр.",60.0062920505,30.197807176999998,-,267,200,324,347,527,612,554,549,159,34,31,11,10,7,7,5,7,8,5,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,507059572,Васильевский остров,59.938611111099995,30.2561111111,,1712,1514,2508,2039,2357,1250,1912,1813,610,0,1,0,0,0,0,0,6,38,12,0,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,689336580,Международная,59.87,30.379722222199998,,643,462,478,426,404,365,347,336,449,620,437,374,416,343,635,590,451,1003,1064,635,619,784,710,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,25391212,Финский Залив,59.936630272600006,30.219207583299998,,1247,1329,2142,2717,2614,0,0,0,0,0,0,0,0,0,0,1,3,27,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,863430822,Olgino,59.99166667,30.12805556,olgino,237,231,268,223,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,349990765,Сад Ткачей,59.8941181,30.4342922,,41,16,24,11,17,21,39,21,15,14,17,25,9,18,25,20,26,13,19,10,6,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,217674493,Peter and Paul Fortress,59.95012383270001,30.31535575,peter-and-paul-fortress,4016,2705,305,3016,6335,4720,8243,5385,3436,571,883,1897,3441,2081,1732,2548,4076,3027,4242,3629,3020,2869,2060,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,7429754,Ресторан Водопад,60.0103,30.36843,,30,18,11,23,14,28,15,22,36,47,23,73,35,29,31,27,13,16,22,30,27,36,32,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,213206537,Zvyozdnaya,59.8332333333,30.3494916667,zvyozdnaya,883,1276,1794,1568,1977,1367,891,588,1010,895,792,960,887,769,672,479,460,414,420,339,440,453,371,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,213580753,Chyornaya Rechka,59.9854777778,30.300819444400002,chyornaya-rechka,1248,1207,1606,1852,1823,1269,936,768,930,521,447,1001,759,771,742,573,572,483,417,424,492,596,340,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,829848655,Russian cruiser Aurora,59.9552777778,30.3380555556,russian-cruiser-aurora,188,204,246,265,1293,2803,2864,2451,1771,1681,2496,1159,1614,857,847,1022,1343,1571,1465,1311,945,788,731,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,3687766,Парк Городов Героев,59.8352739642,30.3279089928,,226,340,366,474,854,842,597,437,97,15,3,1,1,4,4,1,2,2,2,3,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,440867294,улица рашетова,60.0216391388,30.323901971999998,,44,48,31,41,29,23,15,8,20,56,76,57,32,29,30,6,8,11,9,6,0,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,502248258,Улица Гаккелевская,60.0007594029,30.2560086921,,45,87,89,103,101,51,100,95,55,64,60,67,42,44,46,68,36,31,21,28,22,43,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,1029027834,"ТРК ""Пять Озер""",60.018319999999996,30.24943,,66,64,69,65,195,156,124,109,157,180,195,232,175,168,216,251,154,113,164,98,142,163,175,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
