,ID,Lat,Lon,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,Title,Slug
24,1006238916200236,48.174925793,16.403538764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,0,3,3,3,1,0,1,1,0,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,42,42
25,100652341418866,48.22189,16.40164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,25,19,26,38,44,37,28,32,26,24,30,,
26,100706890812408,48.12007,16.265420000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,4,0,13,1,0,0,0,0,,
27,100712958110992,48.19451,16.34593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,17,6,1,10,10,32,4,5,9,3,3,,
28,256758163,48.20231,16.3373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Büchereien Wien,buchereien-wien
29,100799101307851,48.20622,16.383370000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68,99,68,124,55,43,4,1,16,49,22,17,34,6,0,,
30,100799201399265,48.11015,16.305039999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,1,1,0,0,1,,
31,100879378033965,48.20001,16.364179999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,23,4,2,2,28,29,24,21,22,11,15,,
32,100899966642090,48.1611,16.5,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,,
33,1020251752,48.1595,16.2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,0,2,17,9,0,4,,
34,1004282544,48.2669,16.3311,1,2,3,3,28,34,41,83,5,1,0,3,2,3,3,8,43,46,31,15,6,2,4,2,3,2,2,0,5,79,59,51,11,4,1,1,0,4,1,2,0,8,12,10,1,1,1,2,,
35,410465,48.1848124379,16.3130477071,1872,1802,2070,2889,5901,5197,4502,5238,4402,5575,4261,5247,3545,2201,2833,3273,4522,5722,4980,5130,4164,5010,4193,4568,2399,1906,4558,5730,4816,5573,6624,7488,6179,7612,5292,5877,2033,0,0,0,0,0,0,0,0,0,0,1399,,
36,354658612,48.2428325758,16.2748354111,41,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
37,779051161,48.2576,16.4496,0,0,0,1,1,1,1,1,1,3,2,2,3,3,2,0,1,1,2,0,5,2,1,0,2,0,4,4,0,1,0,1,4,1,1,1,2,3,2,0,1,0,0,0,0,0,0,0,,
38,100998710503991,48.24617,16.349510000000002,0,0,0,0,0,3,5,1,1,0,2,6,8,10,7,17,8,7,5,8,8,7,10,9,14,10,14,5,10,7,9,8,11,7,6,13,3,7,7,2,6,4,11,7,24,20,6,29,,
39,101012654717145,48.202906986,16.3684366455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,59,117,30,3,4,9,4,2,2,0,1,1,,
40,101040967923933,48.173684369300005,16.3726758957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,PizzaFavori,pizzafavori
41,101089787915015,48.114494436899996,16.296350955999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,14,11,16,3,0,0,0,0,0,0,0,0,0,0,0,Hotel Rainers21,hotel-rainers21
42,101119461242057,48.23938,16.30719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Licht Werk Stadt,licht-werk-stadt
43,101150467917084,48.2123,16.31481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Mtel shop Thaliastraße 120-122,mtel-shop-thaliastrae-120-122
44,101186767984794,48.17906,16.38705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,
45,1012549175510014,48.151178200000004,16.3145944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
46,101320574584081,48.20903,16.33946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,6,7,1,0,0,0,0,0,1,8,14,13,2,2,,
47,759074,48.210570000000004,16.3651899,736,553,665,728,715,571,671,788,662,797,679,959,888,606,715,741,723,721,724,787,732,790,806,1090,843,709,770,748,885,714,685,778,769,921,872,1033,441,0,0,71,200,165,251,275,261,220,139,161,,
48,101373031275751,48.21472,16.40628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
49,101447727955916,48.1784908188,16.3696431203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AMT Automobilteile,amt-automobilteile
50,10150094993760455,48.20102,16.37518,8,4,0,1,0,0,0,7,4,3,4,4,0,1,0,0,1,3,1,2,2,0,3,1,2,6,1,0,3,1,0,1,4,0,1,1,3,0,0,0,2,1,0,0,1,0,0,1,,
51,967427291,48.22775,16.45639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,
52,6724568,48.301882299999995,16.3333312561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
53,1015177138521198,48.239324529300006,16.3591907897,2,8,3,0,6,8,6,3,8,6,9,5,13,13,9,9,7,9,21,11,19,16,16,7,12,10,8,12,16,11,8,11,3,6,12,20,5,15,5,10,3,4,7,7,8,6,7,5,,
54,101523961347523,48.10337,16.29212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,,
55,101532443525677,48.2898741704,16.299026506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7,9,10,11,18,15,18,18,10,0,0,41,27,27,1,0,0,0,0,0,,
56,333352437,48.1697049,16.3672606,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,4,0,0,1,0,2,3,0,0,1,2,0,,
57,101565441267926,48.25732,16.46207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,0,3,0,1,1,4,2,1,0,,
58,101570650231906,48.267539899999996,16.2983699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,3,0,3,4,15,17,9,3,6,3,8,14,9,,
59,1016089161752390,48.2,16.55,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
60,101612457978404,48.11877,16.2646799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Weinrat-Haus,weinrat-haus
61,101613831280840,48.1169347,16.262258499999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,2,2,10,12,7,2,2,1,3,0,,
62,101616326543211,48.21586,16.16856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,
63,101621041312374,48.20629,16.36775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,15,0,0,0,0,0,0,2,19,50,7,9,,
64,1018868356,48.19894,16.39784,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,,
65,1016345882087610,48.11301871,16.3515848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
66,883116895,48.115189792299994,16.3545833282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Winzer Club / Landgut Weghofer,winzer-club-landgut-weghofer
67,101653514520927,48.1433516688,16.357903683299998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,6,1,1,1,0,1,0,3,0,0,1,2,2,,
68,1016760178523622,48.2454538618,16.483418941500002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,
69,101678681194117,48.1993779358,16.3458323479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,The Art Social Club,the-art-social-club
70,28870969,48.18971,16.33426,17,38,27,29,33,17,45,16,61,81,40,28,34,45,50,48,61,50,56,43,36,46,32,31,38,33,24,31,27,28,37,22,16,57,23,23,21,28,14,1,3,5,9,10,9,23,5,0,,
71,101708987919992,48.212379999999996,16.354979999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,15,4,0,0,0,0,0,12,35,17,10,6,2,,
